zcta5,county14,county,cntyname2,zipname,hus10,afact
ZIP Census Tabulation Area,county14,county,Current County,zipname,"Total HUs, 2010 census",zcta5 to county14 alloc factor
22435,51159, ,Richmond VA,"Callao, VA",45,0.038
22435,51193, ,Westmoreland VA,"Callao, VA",12,0.01
22436,51057, ,Essex VA,"Caret, VA",323,1
22437,51057, ,Essex VA,"Center Cross, VA",429,0.868
22437,51097, ,King and Queen VA,"Center Cross, VA",65,0.132
22438,51057, ,Essex VA,"Champlain, VA",232,1
22443,51193, ,Westmoreland VA,"Colonial Beach, VA",4807,1
22448,51099, ,King George VA,"Dahlgren Center, VA",192,1
22454,51057, ,Essex VA,"Dunnsville, VA",1184,1
22460,51159, ,Richmond VA,"Farnham, VA",1082,1
22469,51193, ,Westmoreland VA,"Hague, VA",1346,1
22473,51103, ,Lancaster VA,"Heathsville, VA",41,0.011
22473,51133, ,Northumberland VA,"Heathsville, VA",3577,0.989
22476,51057, ,Essex VA,"Hustle, VA",170,1
22480,51103, ,Lancaster VA,"Irvington, VA",601,1
22482,51103, ,Lancaster VA,"Kilmarnock, VA",1092,0.578
22482,51133, ,Northumberland VA,"Kilmarnock, VA",797,0.422
22485,51099, ,King George VA,"King George, VA",9285,0.999
22485,51193, ,Westmoreland VA,"King George, VA",8,0.001
22488,51193, ,Westmoreland VA,"Kinsale, VA",888,1
22503,51103, ,Lancaster VA,"Lancaster, VA",2812,1
22504,51057, ,Essex VA,"Laneview, VA",134,0.876
22504,51119, ,Middlesex VA,"Laneview, VA",19,0.124
22508,51137, ,Orange VA,"Lake of the Woods, VA",5326,0.937
22508,51177, ,Spotsylvania VA,"Lake of the Woods, VA",360,0.063
22509,51057, ,Essex VA,"Loretto, VA",18,1
22511,51133, ,Northumberland VA,"Lottsburg, VA",1007,1
22514,51033, ,Caroline VA,"Milford, VA",1096,0.995
22514,51097, ,King and Queen VA,"Milford, VA",5,0.005
22520,51193, ,Westmoreland VA,"Montross, VA",3268,1
22529,51193, ,Westmoreland VA,"Oldhams, VA (PO Boxes)",161,1
22530,51133, ,Northumberland VA,"Ophelia, VA (PO Boxes)",192,1
22534,51177, ,Spotsylvania VA,"Partlow, VA",990,1
22535,51033, ,Caroline VA,"Port Royal, VA",284,1
22538,51033, ,Caroline VA,"Rappahannock Academy, VA",133,1
22539,51133, ,Northumberland VA,"Reedville, VA",1921,1
22542,51137, ,Orange VA,"Rhoadesville, VA",758,1
22546,51033, ,Caroline VA,"Ruther Glen, VA",6279,0.969
22546,51085, ,Hanover VA,"Ruther Glen, VA",200,0.031
22548,51159, ,Richmond VA,"Sharps, VA (PO Boxes)",69,1
22551,51177, ,Spotsylvania VA,"Spotsylvania, VA",7274,1
22553,51177, ,Spotsylvania VA,"Spotsylvania, VA",4975,1
22554,51179, ,Stafford VA,"Stafford, VA",17173,1
22556,51179, ,Stafford VA,"Stafford, VA",8483,1
22560,51057, ,Essex VA,"Tappahannock, VA",3110,0.972
22560,51097, ,King and Queen VA,"Tappahannock, VA",88,0.028
22567,51137, ,Orange VA,"Unionville, VA",1227,1
22572,51159, ,Richmond VA,"Warsaw, VA",2654,0.954
22572,51193, ,Westmoreland VA,"Warsaw, VA",128,0.046
22576,51103, ,Lancaster VA,"Weems, VA",1055,1
22578,51103, ,Lancaster VA,"White Stone, VA",1801,1
22579,51133, ,Northumberland VA,"Wicomico Church, VA (PO Boxes)",124,1
22580,51033, ,Caroline VA,"Woodford, VA",1926,0.915
22580,51177, ,Spotsylvania VA,"Woodford, VA",178,0.085
22601,51069, ,Frederick VA,"Winchester, VA",649,0.052
22601,51840, ,Winchester city VA,"Winchester, VA",11872,0.948
22602,51069, ,Frederick VA,"Winchester, VA",11156,1
22603,51069, ,Frederick VA,"Winchester, VA",5671,1
22610,51187, ,Warren VA,"Bentonville, VA",898,1
22611,51043, ,Clarke VA,"Berryville, VA",3676,1
22620,51043, ,Clarke VA,"Boyce, VA",1147,1
22623,51157, ,Rappahannock VA,"Chester Gap, VA",212,0.782
