zcta5,county14,county,cntyname2,zipname,hus10,afact
ZIP Census Tabulation Area,county14,county,Current County,zipname,"Total HUs, 2010 census",zcta5 to county14 alloc factor
24091,51067, ,Franklin VA,"Floyd, VA",36,0.01
24091,51141, ,Patrick VA,"Floyd, VA",34,0.009
24092,51067, ,Franklin VA,"Glade Hill, VA",1473,1
24093,51071, ,Giles VA,"Glen Lyn, VA",97,1
24095,51019, ,Bedford VA  (R),"Goodview, VA",2177,1
24101,51019, ,Bedford VA  (R),"Hardy, VA",373,0.127
24101,51067, ,Franklin VA,"Hardy, VA",2569,0.873
24102,51067, ,Franklin VA,"Henry, VA",981,0.944
24102,51089, ,Henry VA,"Henry, VA",58,0.056
24104,51019, ,Bedford VA  (R),"Huddleston, VA",2608,1
24105,51035, ,Carroll VA,"Indian Valley, VA",42,0.157
24105,51063, ,Floyd VA,"Indian Valley, VA",225,0.843
24112,51067, ,Franklin VA,"Martinsville, VA",497,0.031
24112,51089, ,Henry VA,"Martinsville, VA",8490,0.524
24112,51690, ,Martinsville city VA,"Martinsville, VA",7205,0.445
24120,51035, ,Carroll VA,"Meadows Of Dan, VA",130,0.101
24120,51063, ,Floyd VA,"Meadows Of Dan, VA",274,0.213
24120,51141, ,Patrick VA,"Meadows Of Dan, VA",884,0.686
24121,51019, ,Bedford VA  (R),"Moneta, VA",3832,0.529
24121,51067, ,Franklin VA,"Moneta, VA",3409,0.471
24122,51019, ,Bedford VA  (R),"Montvale, VA",778,1
24124,51021, ,Bland VA,"Narrows, VA",127,0.062
24124,51071, ,Giles VA,"Narrows, VA",1930,0.938
24127,51045, ,Craig VA,"New Castle, VA",2298,1
24128,51045, ,Craig VA,"Newport, VA",254,0.268
24128,51071, ,Giles VA,"Newport, VA",695,0.732
24130,51023, ,Botetourt VA,"Oriskany, VA",15,1
24131,51045, ,Craig VA,"Paint Bank, VA",104,1
24132,51155, ,Pulaski VA,"Parrott, VA",241,1
24133,51141, ,Patrick VA,"Patrick Springs, VA",1340,1
24134,51071, ,Giles VA,"Pearisburg, VA",2665,1
24136,51071, ,Giles VA,"Pembroke, VA",1671,1
24137,51067, ,Franklin VA,"Penhook, VA",1654,0.722
24137,51143, ,Pittsylvania VA,"Penhook, VA",636,0.278
24138,51063, ,Floyd VA,"Pilot, VA",315,0.451
24138,51121, ,Montgomery VA,"Pilot, VA",384,0.549
24139,51019, ,Bedford VA  (R),"Pittsville, VA",70,0.178
24139,51143, ,Pittsylvania VA,"Pittsville, VA",324,0.822
24141,51063, ,Floyd VA,"Radford, VA",74,0.007
24141,51121, ,Montgomery VA,"Radford, VA",684,0.069
24141,51155, ,Pulaski VA,"Radford, VA",2782,0.279
24141,51750, ,Radford city VA,"Radford, VA",6427,0.645
24147,51071, ,Giles VA,"Rich Creek, VA",541,1
24148,51089, ,Henry VA,"Ridgeway, VA",3853,1
24149,51063, ,Floyd VA,"Riner, VA",420,0.277
24149,51121, ,Montgomery VA,"Riner, VA",1096,0.723
24150,51071, ,Giles VA,"Ripplemead, VA",436,1
24151,51067, ,Franklin VA,"Rocky Mount, VA",9057,1
24153,51023, ,Botetourt VA,"Salem, VA",12,0.001
24153,51161, ,Roanoke VA,"Salem, VA",5095,0.32
24153,51775, ,Salem city VA,"Salem, VA",10832,0.68
24161,51143, ,Pittsylvania VA,"Sandy Level, VA",288,1
24162,51063, ,Floyd VA,"Shawsville, VA",15,0.013
24162,51121, ,Montgomery VA,"Shawsville, VA",1108,0.987
24165,51089, ,Henry VA,"Spencer, VA",524,0.637
24165,51141, ,Patrick VA,"Spencer, VA",298,0.363
24167,51071, ,Giles VA,"Staffordsville, VA",157,1
24168,51089, ,Henry VA,"Stanleytown, VA",102,1
24171,51141, ,Patrick VA,"Stuart, VA",4362,1
24174,51019, ,Bedford VA  (R),"Thaxton, VA",1200,1
24175,51023, ,Botetourt VA,"Troutville, VA",3624,0.994
24175,51161, ,Roanoke VA,"Troutville, VA",21,0.006
24176,51067, ,Franklin VA,"Union Hall, VA",1300,1
24179,51019, ,Bedford VA  (R),"Vinton, VA",2541,0.305
24179,51161, ,Roanoke VA,"Vinton, VA",5777,0.695
24184,51067, ,Franklin VA,"Wirtz, VA",2408,1
24185,51141, ,Patrick VA,"Woolwine, VA",503,1
24201,51520, ,Bristol city VA,"Bristol, VA",8469,1
24202,51169, ,Scott VA,"Bristol, VA",232,0.039
24202,51191, ,Washington VA,"Bristol, VA",5322,0.9
24202,51520, ,Bristol city VA,"Bristol, VA",362,0.061
24210,51191, ,Washington VA,"Abingdon, VA",7966,1
24211,51191, ,Washington VA,"Abingdon, VA",4730,1
24216,51195, ,Wise VA,"Appalachia, VA",1436,1
24217,51027, ,Buchanan VA,"Bee, VA",48,0.214
24217,51051, ,Dickenson VA,"Bee, VA",176,0.786
24219,51105, ,Lee VA,"Big Stone Gap, VA",605,0.13
24219,51195, ,Wise VA,"Big Stone Gap, VA",4047,0.87
24220,51051, ,Dickenson VA,"Birchleaf, VA",404,1
24221,51105, ,Lee VA,"Blackwater, VA",324,0.587
24221,51169, ,Scott VA,"Blackwater, VA",228,0.413
24224,51167, ,Russell VA,"Castlewood, VA",3114,1
24225,51167, ,Russell VA,"Cleveland, VA",862,1
24226,51051, ,Dickenson VA,"Clinchco, VA",720,1
24228,51051, ,Dickenson VA,"Clintwood, VA",3423,1
24230,51051, ,Dickenson VA,"Coeburn, VA",762,0.174
24230,51169, ,Scott VA,"Coeburn, VA",174,0.04
24230,51195, ,Wise VA,"Coeburn, VA",3450,0.787
24236,51191, ,Washington VA,"Damascus, VA",1655,1
24237,51051, ,Dickenson VA,"Dante, VA",309,0.494
24237,51167, ,Russell VA,"Dante, VA",316,0.506
24239,51027, ,Buchanan VA,"Davenport, VA",65,1
24243,51105, ,Lee VA,"Dryden, VA",943,1
24244,51105, ,Lee VA,"Duffield, VA",457,0.162
24244,51169, ,Scott VA,"Duffield, VA",2371,0.838
24245,51169, ,Scott VA,"Dungannon, VA",640,1
24246,51195, ,Wise VA,"East Stone Gap, VA (PO Boxes)",202,1
24248,51105, ,Lee VA,"Ewing, VA",1283,1
24250,51169, ,Scott VA,"Fort Blackmore, VA",703,1
24251,51169, ,Scott VA,"Gate City, VA",4417,1
24256,51027, ,Buchanan VA,"Haysi, VA",339,0.213
24256,51051, ,Dickenson VA,"Haysi, VA",1251,0.787
24258,51169, ,Scott VA,"Hiltons, VA",790,0.979
24258,51191, ,Washington VA,"Hiltons, VA",17,0.021
24260,51027, ,Buchanan VA,"Honaker, VA",537,0.2
24260,51167, ,Russell VA,"Honaker, VA",2149,0.8
24263,51105, ,Lee VA,"Jonesville, VA",3185,1
24265,51105, ,Lee VA,"Keokee, VA",441,1
24266,51167, ,Russell VA,"Lebanon, VA",4427,1
24269,51051, ,Dickenson VA,"Mc Clure, VA",158,1
24270,51191, ,Washington VA,"Mendota, VA",305,1
24271,51169, ,Scott VA,"Nickelsville, VA",1405,1
24272,51051, ,Dickenson VA,"Nora, VA",255,1
24273,51195, ,Wise VA,"Norton, VA",1068,0.354
24273,51720, ,Norton city VA,"Norton, VA",1945,0.646
24277,51105, ,Lee VA,"Pennington Gap, VA",2868,1
24279,51195, ,Wise VA,"Pound, VA",2197,1
24280,51167, ,Russell VA,"Rosedale, VA",363,1
24281,51105, ,Lee VA,"Rose Hill, VA",1272,1
24282,51105, ,Lee VA,"Saint Charles, VA",367,1
24283,51051, ,Dickenson VA,"Saint Paul, VA",77,0.073
24283,51167, ,Russell VA,"Saint Paul, VA",101,0.096
24283,51195, ,Wise VA,"Saint Paul, VA",875,0.831
24290,51169, ,Scott VA,"Weber City, VA",956,1
24292,51077, ,Grayson VA,"Whitetop, VA",341,1
24293,51195, ,Wise VA,"Wise, VA",4665,1
24301,51155, ,Pulaski VA,"Pulaski, VA",7053,1
24311,51173, ,Smyth VA,"Atkins, VA",972,1
24312,51035, ,Carroll VA,"Austinville, VA",684,0.57
24312,51197, ,Wythe VA,"Austinville, VA",515,0.43
24313,51155, ,Pulaski VA,"Barren Springs, VA",5,0.012
24313,51197, ,Wythe VA,"Barren Springs, VA",395,0.987
24314,51021, ,Bland VA,"Bastian, VA",685,0.898
24314,51185, ,Tazewell VA,"Bastian, VA",78,0.102
24315,51021, ,Bland VA,"Bland, VA",1577,0.991
24315,51071, ,Giles VA,"Bland, VA",15,0.009
24316,51185, ,Tazewell VA,"Broadford, VA",20,1
24317,51035, ,Carroll VA,"Cana, VA",1995,1
24318,51021, ,Bland VA,"Ceres, VA",300,0.679
24318,51173, ,Smyth VA,"Ceres, VA",142,0.321
24319,51173, ,Smyth VA,"Chilhowie, VA",2793,0.888
24319,51191, ,Washington VA,"Chilhowie, VA",351,0.112
24322,51197, ,Wythe VA,"Cripple Creek, VA",98,1
24323,51197, ,Wythe VA,"Crockett, VA",314,1
24324,51155, ,Pulaski VA,"Draper, VA",975,0.929
24324,51197, ,Wythe VA,"Draper, VA",75,0.071
24325,51035, ,Carroll VA,"Dugspur, VA",813,1
24326,51077, ,Grayson VA,"Elk Creek, VA",752,1
24328,51035, ,Carroll VA,"Fancy Gap, VA",1610,1
24330,51035, ,Carroll VA,"Fries, VA",407,0.213
24330,51077, ,Grayson VA,"Fries, VA",1506,0.787
24333,51035, ,Carroll VA,"Galax, VA",3092,0.348
24333,51077, ,Grayson VA,"Galax, VA",2535,0.286
24333,51640, ,Galax city VA,"Galax, VA",3252,0.366
24340,51191, ,Washington VA,"Glade Spring, VA",2608,1
24343,51035, ,Carroll VA,"Hillsville, VA",4673,0.957
24343,51141, ,Patrick VA,"Hillsville, VA",184,0.038
24343,51197, ,Wythe VA,"Hillsville, VA",26,0.005
24347,51035, ,Carroll VA,"Hiwassee, VA",34,0.031
24347,51121, ,Montgomery VA,"Hiwassee, VA",68,0.062
24347,51155, ,Pulaski VA,"Hiwassee, VA",992,0.907
24348,51077, ,Grayson VA,"Independence, VA",2388,1
24350,51035, ,Carroll VA,"Ivanhoe, VA",169,0.259
24350,51077, ,Grayson VA,"Ivanhoe, VA",51,0.078
24350,51197, ,Wythe VA,"Ivanhoe, VA",433,0.663
24351,51035, ,Carroll VA,"Lambsburg, VA",345,1
24352,51035, ,Carroll VA,"Laurel Fork, VA",562,0.995
24352,51063, ,Floyd VA,"Laurel Fork, VA",3,0.005
24354,51173, ,Smyth VA,"Marion, VA",7295,1
24360,51197, ,Wythe VA,"Max Meadows, VA",2737,1
24361,51191, ,Washington VA,"Meadowview, VA",2185,1
24363,51077, ,Grayson VA,"Mouth Of Wilson, VA",908,1
24366,51021, ,Bland VA,"Rocky Gap, VA",415,1
24368,51173, ,Smyth VA,"Rural Retreat, VA",399,0.173
24368,51197, ,Wythe VA,"Rural Retreat, VA",1904,0.827
24370,51173, ,Smyth VA,"Saltville, VA",2684,0.853
24370,51191, ,Washington VA,"Saltville, VA",462,0.147
24374,51197, ,Wythe VA,"Speedwell, VA",393,1
24375,51173, ,Smyth VA,"Sugar Grove, VA",991,1
24377,51185, ,Tazewell VA,"Tannersville, VA",220,1
24378,51077, ,Grayson VA,"Troutdale, VA",675,0.817
24378,51173, ,Smyth VA,"Troutdale, VA",151,0.183
24380,51035, ,Carroll VA,"Willis, VA",10,0.007
24380,51063, ,Floyd VA,"Willis, VA",1339,0.993
24381,51035, ,Carroll VA,"Woodlawn, VA",1955,1
24382,51197, ,Wythe VA,"Wytheville, VA",7189,1
24401,51015, ,Augusta VA,"Staunton, VA",5267,0.31
24401,51790, ,Staunton city VA,"Staunton, VA",11738,0.69
24411,51015, ,Augusta VA,"Augusta Springs, VA",50,1
24412,51017, ,Bath VA,"Bacova, VA (PO Boxes)",73,1
24413,51091, ,Highland VA,"Blue Grass, VA",140,1
24415,51163, ,Rockbridge VA,"Brownsburg, VA (PO Boxes)",25,1
24416,51163, ,Rockbridge VA,"Buena Vista, VA",951,0.245
24416,51530, ,Buena Vista city VA,"Buena Vista, VA",2936,0.755
24421,51015, ,Augusta VA,"Churchville, VA",1678,1
24422,51005, ,Alleghany VA,"Clifton Forge, VA",3182,0.973
24422,51023, ,Botetourt VA,"Clifton Forge, VA",88,0.027
24426,51005, ,Alleghany VA,"Covington, VA",4043,0.569
24426,51580, ,Covington city VA,"Covington, VA",3067,0.431
24430,51015, ,Augusta VA,"Craigsville, VA",718,1
24431,51015, ,Augusta VA,"Crimora, VA",1137,1
24432,51015, ,Augusta VA,"Deerfield, VA",205,0.928
24432,51017, ,Bath VA,"Deerfield, VA",16,0.072
24433,51091, ,Highland VA,"Doe Hill, VA",59,1
24435,51163, ,Rockbridge VA,"Fairfield, VA",913,1
24437,51015, ,Augusta VA,"Fort Defiance, VA",374,1
24439,51015, ,Augusta VA,"Goshen, VA",116,0.158
24439,51163, ,Rockbridge VA,"Goshen, VA",617,0.842
24440,51015, ,Augusta VA,"Greenville, VA",1108,1
24441,51015, ,Augusta VA,"Grottoes, VA",957,0.373
24441,51165, ,Rockingham VA,"Grottoes, VA",1612,0.627
24442,51091, ,Highland VA,"Head Waters, VA",144,1
24445,51005, ,Alleghany VA,"Hot Springs, VA",281,0.177
24445,51017, ,Bath VA,"Hot Springs, VA",1309,0.823
24448,51005, ,Alleghany VA,"Iron Gate, VA",177,1
24450,51163, ,Rockbridge VA,"Lexington, VA",4836,0.655
24450,51678, ,Lexington city VA,"Lexington, VA",2546,0.345
24457,51005, ,Alleghany VA,"Low Moor, VA",140,1
24458,51091, ,Highland VA,"Mc Dowell, VA",370,1
24459,51015, ,Augusta VA,"Middlebrook, VA",364,0.892
24459,51163, ,Rockbridge VA,"Middlebrook, VA",44,0.108
24460,51017, ,Bath VA,"Millboro, VA",1090,1
24464,51125, ,Nelson VA,"Montebello, VA",213,1
24465,51091, ,Highland VA,"Monterey, VA",1001,1
24467,51015, ,Augusta VA,"Mount Sidney, VA",918,1
24471,51165, ,Rockingham VA,"Port Republic, VA",598,1
24472,51015, ,Augusta VA,"Raphine, VA",420,0.385
24472,51163, ,Rockbridge VA,"Raphine, VA",672,0.615
24473,51163, ,Rockbridge VA,"Rockbridge Baths, VA",534,1
24474,51005, ,Alleghany VA,"Selma, VA",246,1
24476,51015, ,Augusta VA,"Steeles Tavern, VA (PO Boxes)",129,1
24477,51015, ,Augusta VA,"Stuarts Draft, VA",4539,1
24479,51015, ,Augusta VA,"Swoope, VA",709,1
24482,51015, ,Augusta VA,"Verona, VA",1840,1
24483,51009, ,Amherst VA,"Vesuvius, VA",105,0.276
24483,51163, ,Rockbridge VA,"Vesuvius, VA",276,0.724
24484,51017, ,Bath VA,"Warm Springs, VA",585,0.91
24484,51091, ,Highland VA,"Warm Springs, VA",58,0.09
24485,51015, ,Augusta VA,"West Augusta, VA",297,1
24486,51015, ,Augusta VA,"Weyers Cave, VA",1241,0.934
24486,51165, ,Rockingham VA,"Weyers Cave, VA",87,0.066
24487,51017, ,Bath VA,"Williamsville, VA",197,0.752
24487,51091, ,Highland VA,"Williamsville, VA",65,0.248
24501,51031, ,Campbell VA,"Lynchburg, VA",2250,0.19
24501,51680, ,Lynchburg city VA,"Lynchburg, VA",9588,0.81
24502,51019, ,Bedford VA  (R),"Lynchburg, VA",348,0.02
24502,51031, ,Campbell VA,"Lynchburg, VA",5046,0.289
24502,51680, ,Lynchburg city VA,"Lynchburg, VA",12095,0.692
24503,51019, ,Bedford VA  (R),"Lynchburg, VA",1912,0.219
24503,51680, ,Lynchburg city VA,"Lynchburg, VA",6812,0.781
24504,51011, ,Appomattox VA,"Lynchburg, VA",32,0.007
24504,51031, ,Campbell VA,"Lynchburg, VA",1127,0.246
24504,51680, ,Lynchburg city VA,"Lynchburg, VA",3427,0.747
24517,51031, ,Campbell VA,"Altavista, VA",2688,1
24520,51083, ,Halifax VA,"Alton, VA",1200,1
24521,51009, ,Amherst VA,"Amherst, VA",4656,0.977
24521,51125, ,Nelson VA,"Amherst, VA",111,0.023
24522,51011, ,Appomattox VA,"Appomattox, VA",4250,0.994
24522,51029, ,Buckingham VA,"Appomattox, VA",26,0.006
24523,51019, ,Bedford VA  (R),"Bedford, VA",8760,1
24526,51019, ,Bedford VA  (R),"Big Island, VA",780,1
24527,51143, ,Pittsylvania VA,"Blairs, VA",1326,1
24528,51031, ,Campbell VA,"Brookneal, VA",1314,0.814
24528,51037, ,Charlotte VA,"Brookneal, VA",301,0.186
24529,51117, ,Mecklenburg VA,"Buffalo Junction, VA",994,1
24530,51089, ,Henry VA,"Callands, VA",5,0.008
24530,51143, ,Pittsylvania VA,"Callands, VA",586,0.992
24531,51143, ,Pittsylvania VA,"Chatham, VA",4596,1
24534,51083, ,Halifax VA,"Clover, VA",956,1
24536,51019, ,Bedford VA  (R),"Coleman Falls, VA",99,1
24538,51011, ,Appomattox VA,"Concord, VA",716,0.341
24538,51031, ,Campbell VA,"Concord, VA",1381,0.659
24539,51083, ,Halifax VA,"Crystal Hill, VA",86,1
24540,51143, ,Pittsylvania VA,"Danville, VA",5842,0.371
24540,51590, ,Danville city VA,"Danville, VA",9915,0.629
24541,51143, ,Pittsylvania VA,"Danville, VA",2128,0.145
24541,51590, ,Danville city VA,"Danville, VA",12523,0.855
24549,51143, ,Pittsylvania VA,"Dry Fork, VA",1964,1
24550,51019, ,Bedford VA  (R),"Evington, VA",177,0.057
24550,51031, ,Campbell VA,"Evington, VA",2949,0.943
24551,51019, ,Bedford VA  (R),"Forest, VA",7021,0.846
24551,51031, ,Campbell VA,"Forest, VA",1211,0.146
24551,51680, ,Lynchburg city VA,"Forest, VA",70,0.008
24553,51009, ,Amherst VA,"Gladstone, VA",226,0.233
24553,51011, ,Appomattox VA,"Gladstone, VA",263,0.271
24553,51029, ,Buckingham VA,"Gladstone, VA",209,0.216
24553,51125, ,Nelson VA,"Gladstone, VA",271,0.28
24554,51031, ,Campbell VA,"Gladys, VA",1876,1
24555,51163, ,Rockbridge VA,"Glasgow, VA",1044,1
24556,51019, ,Bedford VA  (R),"Goode, VA",1267,1
24557,51083, ,Halifax VA,"Gretna, VA",23,0.005
24557,51143, ,Pittsylvania VA,"Gretna, VA",4263,0.995
24558,51083, ,Halifax VA,"Halifax, VA",3042,1
24562,51003, ,Albemarle VA,"Howardsville, VA",11,0.05
24562,51029, ,Buckingham VA,"Howardsville, VA",156,0.709
24562,51125, ,Nelson VA,"Howardsville, VA",53,0.241
24563,51143, ,Pittsylvania VA,"Hurt, VA",2779,1
24565,51083, ,Halifax VA,"Java, VA",60,0.091
24565,51143, ,Pittsylvania VA,"Java, VA",596,0.909
24566,51143, ,Pittsylvania VA,"Keeling, VA",640,1
24569,51031, ,Campbell VA,"Long Island, VA",76,0.155
24569,51083, ,Halifax VA,"Long Island, VA",107,0.219
24569,51143, ,Pittsylvania VA,"Long Island, VA",306,0.626
24570,51019, ,Bedford VA  (R),"Lowry, VA",10,1
24571,51019, ,Bedford VA  (R),"Lynch Station, VA",262,0.249
24571,51031, ,Campbell VA,"Lynch Station, VA",792,0.751
24572,51009, ,Amherst VA,"Madison Heights, VA",7016,1
24574,51009, ,Amherst VA,"Monroe, VA",1714,1
24577,51083, ,Halifax VA,"Nathalie, VA",2775,1
24578,51163, ,Rockbridge VA,"Natural Bridge, VA",516,1
24579,51163, ,Rockbridge VA,"Natural Bridge Station, VA",681,1
24580,51117, ,Mecklenburg VA,"Nelson, VA",298,1
24581,51125, ,Nelson VA,"Norwood, VA",27,1
24586,51143, ,Pittsylvania VA,"Ringgold, VA",2618,1
24588,51031, ,Campbell VA,"Rustburg, VA",4025,1
24589,51083, ,Halifax VA,"Scottsburg, VA",1099,1
24590,51003, ,Albemarle VA,"Scottsville, VA",1478,0.416
24590,51029, ,Buckingham VA,"Scottsville, VA",918,0.259
24590,51065, ,Fluvanna VA,"Scottsville, VA",1153,0.325
24592,51083, ,Halifax VA,"South Boston, VA",6707,1
24593,51011, ,Appomattox VA,"Spout Spring, VA",916,1
24594,51083, ,Halifax VA,"Sutherlin, VA",277,0.339
24594,51143, ,Pittsylvania VA,"Sutherlin, VA",539,0.661
24595,51009, ,Amherst VA,"Sweet Briar, VA (PO Boxes)",74,1
24597,51083, ,Halifax VA,"Vernon Hill, VA",562,0.884
24597,51143, ,Pittsylvania VA,"Vernon Hill, VA",74,0.116
24598,51083, ,Halifax VA,"Virgilina, VA",1018,0.985
24598,51117, ,Mecklenburg VA,"Virgilina, VA",16,0.015
24599,51029, ,Buckingham VA,"Wingina, VA",187,0.567
24599,51125, ,Nelson VA,"Wingina, VA",143,0.433
24601,51185, ,Tazewell VA,"Amonate, VA (PO Boxes)",55,1
24602,51185, ,Tazewell VA,"Bandy, VA",456,1
24603,51027, ,Buchanan VA,"Big Rock, VA",499,1
24604,51185, ,Tazewell VA,"Bishop, VA (PO Boxes)",132,1
24605,51185, ,Tazewell VA,"Bluefield, VA",4293,1
24606,51185, ,Tazewell VA,"Boissevain, VA (PO Boxes)",92,1
24607,51027, ,Buchanan VA,"Breaks, VA (PO Boxes)",176,0.8
24607,51051, ,Dickenson VA,"Breaks, VA (PO Boxes)",44,0.2
24609,51167, ,Russell VA,"Cedar Bluff, VA",888,0.249
24609,51185, ,Tazewell VA,"Cedar Bluff, VA",2681,0.751
24612,51185, ,Tazewell VA,"Doran, VA (PO Boxes)",126,1
24613,51185, ,Tazewell VA,"Falls Mills, VA",433,1
24614,51027, ,Buchanan VA,"Grundy, VA",3925,1
24620,51027, ,Buchanan VA,"Hurley, VA",1344,1
24622,51027, ,Buchanan VA,"Jewell Ridge, VA",279,0.548
24622,51185, ,Tazewell VA,"Jewell Ridge, VA",230,0.452
24628,51027, ,Buchanan VA,"Maxie, VA",139,1
24630,51185, ,Tazewell VA,"North Tazewell, VA",3150,1
24631,51027, ,Buchanan VA,"Oakwood, VA",1105,1
24634,51027, ,Buchanan VA,"Pilgrims Knob, VA",274,1
24635,51185, ,Tazewell VA,"Pocahontas, VA (PO Boxes)",330,1
24637,51185, ,Tazewell VA,"Pounding Mill, VA",1480,1
24639,51027, ,Buchanan VA,"Raven, VA",573,0.348
24639,51167, ,Russell VA,"Raven, VA",8,0.005
24639,51185, ,Tazewell VA,"Raven, VA",1065,0.647
24641,51185, ,Tazewell VA,"Richlands, VA",2934,1
24646,51027, ,Buchanan VA,"Rowe, VA",372,1
24649,51027, ,Buchanan VA,"Swords Creek, VA",4,0.003
24649,51167, ,Russell VA,"Swords Creek, VA",1256,0.997
24651,51185, ,Tazewell VA,"Tazewell, VA",3051,1
24656,51027, ,Buchanan VA,"Vansant, VA",1724,1
24657,51027, ,Buchanan VA,"Whitewood, VA",173,1
99999,51001, ,Accomack VA,99999,1,0.167
99999,51131, ,Northampton VA,99999,5,0.833
